"Btrieve";"<= 6.15";"IN PROGRESS";"No";
"DBase";;"PLANNED";"Yes";
"Paradox";;"PLANNED";"Yes";
"Superbase";;"IN PROGRESS";"No";
"TopSpeed";;"IN PROGRESS";"No";
